Location,Period,Indicator,Gender,Tooltip
Australia,2005,New HIV infections (per 1000 uninfected population),Female,<0.01 
Australia,2000,New HIV infections (per 1000 uninfected population),Both sexes,0.03
Australia,2000,New HIV infections (per 1000 uninfected population),Male,0.06
Australia,2000,New HIV infections (per 1000 uninfected population),Female,<0.01 
Austria,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
Austria,2019,New HIV infections (per 1000 uninfected population),Male,No data
Austria,2019,New HIV infections (per 1000 uninfected population),Female,No data
Austria,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Austria,2015,New HIV infections (per 1000 uninfected population),Male,No data
Austria,2015,New HIV infections (per 1000 uninfected population),Female,No data
Austria,2010,New HIV infections (per 1000 uninfected population),Both sexes,No data
Austria,2010,New HIV infections (per 1000 uninfected population),Male,No data
Austria,2010,New HIV infections (per 1000 uninfected population),Female,No data
Austria,2005,New HIV infections (per 1000 uninfected population),Both sexes,No data
Austria,2005,New HIV infections (per 1000 uninfected population),Male,No data
Austria,2005,New HIV infections (per 1000 uninfected population),Female,No data
Austria,2000,New HIV infections (per 1000 uninfected population),Both sexes,No data
Austria,2000,New HIV infections (per 1000 uninfected population),Male,No data
Austria,2000,New HIV infections (per 1000 uninfected population),Female,No data
Azerbaijan,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.06
Azerbaijan,2019,New HIV infections (per 1000 uninfected population),Male,0.08
Azerbaijan,2019,New HIV infections (per 1000 uninfected population),Female,0.04
Azerbaijan,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.07
Azerbaijan,2015,New HIV infections (per 1000 uninfected population),Male,0.1
Azerbaijan,2015,New HIV infections (per 1000 uninfected population),Female,0.04
Azerbaijan,2010,New HIV infections (per 1000 uninfected population),Both sexes,0.08
Azerbaijan,2010,New HIV infections (per 1000 uninfected population),Male,0.12
Azerbaijan,2010,New HIV infections (per 1000 uninfected population),Female,0.05
Azerbaijan,2005,New HIV infections (per 1000 uninfected population),Both sexes,0.11
Azerbaijan,2005,New HIV infections (per 1000 uninfected population),Male,0.15
Azerbaijan,2005,New HIV infections (per 1000 uninfected population),Female,0.07
Azerbaijan,2000,New HIV infections (per 1000 uninfected population),Both sexes,0.17
Azerbaijan,2000,New HIV infections (per 1000 uninfected population),Male,0.24
Azerbaijan,2000,New HIV infections (per 1000 uninfected population),Female,0.1
Bahamas,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
Bahamas,2019,New HIV infections (per 1000 uninfected population),Male,No data
Bahamas,2019,New HIV infections (per 1000 uninfected population),Female,No data
Bahamas,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Bahamas,2015,New HIV infections (per 1000 uninfected population),Male,No data
Bahamas,2015,New HIV infections (per 1000 uninfected population),Female,No data
Bahamas,2010,New HIV infections (per 1000 uninfected population),Both sexes,No data
Bahamas,2010,New HIV infections (per 1000 uninfected population),Male,No data
Bahamas,2010,New HIV infections (per 1000 uninfected population),Female,No data
Bahamas,2005,New HIV infections (per 1000 uninfected population),Both sexes,No data
Bahamas,2005,New HIV infections (per 1000 uninfected population),Male,No data
Bahamas,2005,New HIV infections (per 1000 uninfected population),Female,No data
Bahamas,2000,New HIV infections (per 1000 uninfected population),Both sexes,No data
Bahamas,2000,New HIV infections (per 1000 uninfected population),Male,No data
Bahamas,2000,New HIV infections (per 1000 uninfected population),Female,No data
Bahrain,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
Bahrain,2019,New HIV infections (per 1000 uninfected population),Male,No data
Bahrain,2019,New HIV infections (per 1000 uninfected population),Female,No data
Bahrain,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Bahrain,2015,New HIV infections (per 1000 uninfected population),Male,No data
Bahrain,2015,New HIV infections (per 1000 uninfected population),Female,No data
Bahrain,2010,New HIV infections (per 1000 uninfected population),Both sexes,No data
Bahrain,2010,New HIV infections (per 1000 uninfected population),Male,No data
Bahrain,2010,New HIV infections (per 1000 uninfected population),Female,No data
Bahrain,2005,New HIV infections (per 1000 uninfected population),Both sexes,No data
Bahrain,2005,New HIV infections (per 1000 uninfected population),Male,No data
Bahrain,2005,New HIV infections (per 1000 uninfected population),Female,No data
Bahrain,2000,New HIV infections (per 1000 uninfected population),Both sexes,No data
Bahrain,2000,New HIV infections (per 1000 uninfected population),Male,No data
Bahrain,2000,New HIV infections (per 1000 uninfected population),Female,No data
Bangladesh,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
Bangladesh,2019,New HIV infections (per 1000 uninfected population),Male,No data
Bangladesh,2019,New HIV infections (per 1000 uninfected population),Female,No data
Bangladesh,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Bangladesh,2015,New HIV infections (per 1000 uninfected population),Male,No data
Bangladesh,2015,New HIV infections (per 1000 uninfected population),Female,No data
Bangladesh,2010,New HIV infections (per 1000 uninfected population),Both sexes,No data
Bangladesh,2010,New HIV infections (per 1000 uninfected population),Male,No data
Bangladesh,2010,New HIV infections (per 1000 uninfected population),Female,No data
Bangladesh,2005,New HIV infections (per 1000 uninfected population),Both sexes,No data
Bangladesh,2005,New HIV infections (per 1000 uninfected population),Male,No data
Bangladesh,2005,New HIV infections (per 1000 uninfected population),Female,No data
Bangladesh,2000,New HIV infections (per 1000 uninfected population),Both sexes,No data
Bangladesh,2000,New HIV infections (per 1000 uninfected population),Male,No data
Bangladesh,2000,New HIV infections (per 1000 uninfected population),Female,No data
Barbados,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.18
Barbados,2019,New HIV infections (per 1000 uninfected population),Male,0.23
Barbados,2019,New HIV infections (per 1000 uninfected population),Female,0.14
Barbados,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.22
Barbados,2015,New HIV infections (per 1000 uninfected population),Male,0.26
Barbados,2015,New HIV infections (per 1000 uninfected population),Female,0.17
Barbados,2010,New HIV infections (per 1000 uninfected population),Both sexes,0.3
Barbados,2010,New HIV infections (per 1000 uninfected population),Male,0.36
Barbados,2010,New HIV infections (per 1000 uninfected population),Female,0.23
Barbados,2005,New HIV infections (per 1000 uninfected population),Both sexes,0.45
Barbados,2005,New HIV infections (per 1000 uninfected population),Male,0.55
Barbados,2005,New HIV infections (per 1000 uninfected population),Female,0.36
Barbados,2000,New HIV infections (per 1000 uninfected population),Both sexes,0.61
Barbados,2000,New HIV infections (per 1000 uninfected population),Male,0.74
Barbados,2000,New HIV infections (per 1000 uninfected population),Female,0.48
Belarus,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.2
Belarus,2019,New HIV infections (per 1000 uninfected population),Male,0.25
Belarus,2019,New HIV infections (per 1000 uninfected population),Female,0.17
Belarus,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.24
Belarus,2015,New HIV infections (per 1000 uninfected population),Male,0.29
Belarus,2015,New HIV infections (per 1000 uninfected population),Female,0.2
Belarus,2010,New HIV infections (per 1000 uninfected population),Both sexes,0.2
Belarus,2010,New HIV infections (per 1000 uninfected population),Male,0.24
Belarus,2010,New HIV infections (per 1000 uninfected population),Female,0.16
Belarus,2005,New HIV infections (per 1000 uninfected population),Both sexes,0.14
Belarus,2005,New HIV infections (per 1000 uninfected population),Male,0.17
Belarus,2005,New HIV infections (per 1000 uninfected population),Female,0.11
Belarus,2000,New HIV infections (per 1000 uninfected population),Both sexes,0.04
Belarus,2000,New HIV infections (per 1000 uninfected population),Male,0.05
Belarus,2000,New HIV infections (per 1000 uninfected population),Female,0.03
Belgium,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
Belgium,2019,New HIV infections (per 1000 uninfected population),Male,No data
Belgium,2019,New HIV infections (per 1000 uninfected population),Female,No data
Belgium,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Belgium,2015,New HIV infections (per 1000 uninfected population),Male,No data
Belgium,2015,New HIV infections (per 1000 uninfected population),Female,No data
Belgium,2010,New HIV infections (per 1000 uninfected population),Both sexes,No data
Belgium,2010,New HIV infections (per 1000 uninfected population),Male,No data
Belgium,2010,New HIV infections (per 1000 uninfected population),Female,No data
Belgium,2005,New HIV infections (per 1000 uninfected population),Both sexes,No data
Belgium,2005,New HIV infections (per 1000 uninfected population),Male,No data
Belgium,2005,New HIV infections (per 1000 uninfected population),Female,No data
Belgium,2000,New HIV infections (per 1000 uninfected population),Both sexes,No data
Belgium,2000,New HIV infections (per 1000 uninfected population),Male,No data
Belgium,2000,New HIV infections (per 1000 uninfected population),Female,No data
Belize,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
Belize,2019,New HIV infections (per 1000 uninfected population),Male,No data
Belize,2019,New HIV infections (per 1000 uninfected population),Female,No data
Belize,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Belize,2015,New HIV infections (per 1000 uninfected population),Male,No data
Belize,2015,New HIV infections (per 1000 uninfected population),Female,No data
Belize,2010,New HIV infections (per 1000 uninfected population),Both sexes,No data
Belize,2010,New HIV infections (per 1000 uninfected population),Male,No data
Belize,2010,New HIV infections (per 1000 uninfected population),Female,No data
Belize,2005,New HIV infections (per 1000 uninfected population),Both sexes,No data
Belize,2005,New HIV infections (per 1000 uninfected population),Male,No data
Belize,2005,New HIV infections (per 1000 uninfected population),Female,No data
Belize,2000,New HIV infections (per 1000 uninfected population),Both sexes,No data
Belize,2000,New HIV infections (per 1000 uninfected population),Male,No data
Belize,2000,New HIV infections (per 1000 uninfected population),Female,No data
Benin,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.31
Benin,2019,New HIV infections (per 1000 uninfected population),Male,0.26
Benin,2019,New HIV infections (per 1000 uninfected population),Female,0.35
Benin,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.39
Benin,2015,New HIV infections (per 1000 uninfected population),Male,0.34
Benin,2015,New HIV infections (per 1000 uninfected population),Female,0.45
Benin,2010,New HIV infections (per 1000 uninfected population),Both sexes,0.53
Benin,2010,New HIV infections (per 1000 uninfected population),Male,0.46
Benin,2010,New HIV infections (per 1000 uninfected population),Female,0.6
Benin,2005,New HIV infections (per 1000 uninfected population),Both sexes,0.72
Benin,2005,New HIV infections (per 1000 uninfected population),Male,0.64
Benin,2005,New HIV infections (per 1000 uninfected population),Female,0.81
Benin,2000,New HIV infections (per 1000 uninfected population),Both sexes,0.97
Benin,2000,New HIV infections (per 1000 uninfected population),Male,0.86
Benin,2000,New HIV infections (per 1000 uninfected population),Female,1.08
Bhutan,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
Bhutan,2019,New HIV infections (per 1000 uninfected population),Male,No data
Bhutan,2019,New HIV infections (per 1000 uninfected population),Female,No data
Bhutan,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Bhutan,2015,New HIV infections (per 1000 uninfected population),Male,No data
Bhutan,2015,New HIV infections (per 1000 uninfected population),Female,No data
Bhutan,2010,New HIV infections (per 1000 uninfected population),Both sexes,No data
Bhutan,2010,New HIV infections (per 1000 uninfected population),Male,No data
Bhutan,2010,New HIV infections (per 1000 uninfected population),Female,No data
Bhutan,2005,New HIV infections (per 1000 uninfected population),Both sexes,No data
Bhutan,2005,New HIV infections (per 1000 uninfected population),Male,No data
Bhutan,2005,New HIV infections (per 1000 uninfected population),Female,No data
Bhutan,2000,New HIV infections (per 1000 uninfected population),Both sexes,No data
Bhutan,2000,New HIV infections (per 1000 uninfected population),Male,No data
Bhutan,2000,New HIV infections (per 1000 uninfected population),Female,No data
Bolivia (Plurinational State of),2019,New HIV infections (per 1000 uninfected population),Both sexes,0.08
Bolivia (Plurinational State of),2019,New HIV infections (per 1000 uninfected population),Male,0.12
Bolivia (Plurinational State of),2019,New HIV infections (per 1000 uninfected population),Female,0.05
Bolivia (Plurinational State of),2015,New HIV infections (per 1000 uninfected population),Both sexes,0.1
Bolivia (Plurinational State of),2015,New HIV infections (per 1000 uninfected population),Male,0.14
Bolivia (Plurinational State of),2015,New HIV infections (per 1000 uninfected population),Female,0.06
Bolivia (Plurinational State of),2010,New HIV infections (per 1000 uninfected population),Both sexes,0.11
Bolivia (Plurinational State of),2010,New HIV infections (per 1000 uninfected population),Male,0.16
Bolivia (Plurinational State of),2010,New HIV infections (per 1000 uninfected population),Female,0.05
Bolivia (Plurinational State of),2005,New HIV infections (per 1000 uninfected population),Both sexes,0.12
Bolivia (Plurinational State of),2005,New HIV infections (per 1000 uninfected population),Male,0.18
Bolivia (Plurinational State of),2005,New HIV infections (per 1000 uninfected population),Female,0.06
Bolivia (Plurinational State of),2000,New HIV infections (per 1000 uninfected population),Both sexes,0.22
Bolivia (Plurinational State of),2000,New HIV infections (per 1000 uninfected population),Male,0.3
Bolivia (Plurinational State of),2000,New HIV infections (per 1000 uninfected population),Female,0.14
Bosnia and Herzegovina,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
Bosnia and Herzegovina,2019,New HIV infections (per 1000 uninfected population),Male,No data
Bosnia and Herzegovina,2019,New HIV infections (per 1000 uninfected population),Female,No data
Bosnia and Herzegovina,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Bosnia and Herzegovina,2015,New HIV infections (per 1000 uninfected population),Male,No data
Bosnia and Herzegovina,2015,New HIV infections (per 1000 uninfected population),Female,No data
Bosnia and Herzegovina,2010,New HIV infections (per 1000 uninfected population),Both sexes,No data
Bosnia and Herzegovina,2010,New HIV infections (per 1000 uninfected population),Male,No data
Bosnia and Herzegovina,2010,New HIV infections (per 1000 uninfected population),Female,No data
Bosnia and Herzegovina,2005,New HIV infections (per 1000 uninfected population),Both sexes,No data
Bosnia and Herzegovina,2005,New HIV infections (per 1000 uninfected population),Male,No data
Bosnia and Herzegovina,2005,New HIV infections (per 1000 uninfected population),Female,No data
Bosnia and Herzegovina,2000,New HIV infections (per 1000 uninfected population),Both sexes,No data
Bosnia and Herzegovina,2000,New HIV infections (per 1000 uninfected population),Male,No data
Bosnia and Herzegovina,2000,New HIV infections (per 1000 uninfected population),Female,No data
Botswana,2019,New HIV infections (per 1000 uninfected population),Both sexes,4.78
Botswana,2019,New HIV infections (per 1000 uninfected population),Male,4.18
Botswana,2019,New HIV infections (per 1000 uninfected population),Female,5.42
Botswana,2015,New HIV infections (per 1000 uninfected population),Both sexes,6.27
Botswana,2015,New HIV infections (per 1000 uninfected population),Male,5.54
Botswana,2015,New HIV infections (per 1000 uninfected population),Female,7.05
Botswana,2010,New HIV infections (per 1000 uninfected population),Both sexes,8.54
Botswana,2010,New HIV infections (per 1000 uninfected population),Male,7.6
Botswana,2010,New HIV infections (per 1000 uninfected population),Female,9.54
Botswana,2005,New HIV infections (per 1000 uninfected population),Both sexes,11.16
Botswana,2005,New HIV infections (per 1000 uninfected population),Male,10
Botswana,2005,New HIV infections (per 1000 uninfected population),Female,12.38
Botswana,2000,New HIV infections (per 1000 uninfected population),Both sexes,17.87
Botswana,2000,New HIV infections (per 1000 uninfected population),Male,16.04
Botswana,2000,New HIV infections (per 1000 uninfected population),Female,19.77
Brazil,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.23
Brazil,2019,New HIV infections (per 1000 uninfected population),Male,0.34
Brazil,2019,New HIV infections (per 1000 uninfected population),Female,0.13
Brazil,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.25
Brazil,2015,New HIV infections (per 1000 uninfected population),Male,0.36
Brazil,2015,New HIV infections (per 1000 uninfected population),Female,0.14
Brazil,2010,New HIV infections (per 1000 uninfected population),Both sexes,0.21
Brazil,2010,New HIV infections (per 1000 uninfected population),Male,0.27
Brazil,2010,New HIV infections (per 1000 uninfected population),Female,0.15
Brazil,2005,New HIV infections (per 1000 uninfected population),Both sexes,0.25
Brazil,2005,New HIV infections (per 1000 uninfected population),Male,0.3
Brazil,2005,New HIV infections (per 1000 uninfected population),Female,0.21
Brazil,2000,New HIV infections (per 1000 uninfected population),Both sexes,0.29
Brazil,2000,New HIV infections (per 1000 uninfected population),Male,0.35
Brazil,2000,New HIV infections (per 1000 uninfected population),Female,0.24
Brunei Darussalam,2019,New HIV infections (per 1000 uninfected population),Both sexes,No data
Brunei Darussalam,2019,New HIV infections (per 1000 uninfected population),Male,No data
Brunei Darussalam,2019,New HIV infections (per 1000 uninfected population),Female,No data
Brunei Darussalam,2015,New HIV infections (per 1000 uninfected population),Both sexes,No data
Brunei Darussalam,2015,New HIV infections (per 1000 uninfected population),Male,No data
Brunei Darussalam,2015,New HIV infections (per 1000 uninfected population),Female,No data
Brunei Darussalam,2010,New HIV infections (per 1000 uninfected population),Both sexes,No data
Brunei Darussalam,2010,New HIV infections (per 1000 uninfected population),Male,No data
Brunei Darussalam,2010,New HIV infections (per 1000 uninfected population),Female,No data
Brunei Darussalam,2005,New HIV infections (per 1000 uninfected population),Both sexes,No data
Brunei Darussalam,2005,New HIV infections (per 1000 uninfected population),Male,No data
Brunei Darussalam,2005,New HIV infections (per 1000 uninfected population),Female,No data
Brunei Darussalam,2000,New HIV infections (per 1000 uninfected population),Both sexes,No data
Brunei Darussalam,2000,New HIV infections (per 1000 uninfected population),Male,No data
Brunei Darussalam,2000,New HIV infections (per 1000 uninfected population),Female,No data
Bulgaria,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.04
Bulgaria,2019,New HIV infections (per 1000 uninfected population),Male,0.07
Bulgaria,2019,New HIV infections (per 1000 uninfected population),Female,0.01
Bulgaria,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.04
Bulgaria,2015,New HIV infections (per 1000 uninfected population),Male,0.06
Bulgaria,2015,New HIV infections (per 1000 uninfected population),Female,0.01
Bulgaria,2010,New HIV infections (per 1000 uninfected population),Both sexes,0.03
Bulgaria,2010,New HIV infections (per 1000 uninfected population),Male,0.05
Bulgaria,2010,New HIV infections (per 1000 uninfected population),Female,0.01
Bulgaria,2005,New HIV infections (per 1000 uninfected population),Both sexes,0.02
Bulgaria,2005,New HIV infections (per 1000 uninfected population),Male,0.02
Bulgaria,2005,New HIV infections (per 1000 uninfected population),Female,0.01
Bulgaria,2000,New HIV infections (per 1000 uninfected population),Both sexes,<0.01 
Bulgaria,2000,New HIV infections (per 1000 uninfected population),Male,0.01
Bulgaria,2000,New HIV infections (per 1000 uninfected population),Female,<0.01 
Burkina Faso,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.14
Burkina Faso,2019,New HIV infections (per 1000 uninfected population),Male,0.13
Burkina Faso,2019,New HIV infections (per 1000 uninfected population),Female,0.14
Burkina Faso,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.19
Burkina Faso,2015,New HIV infections (per 1000 uninfected population),Male,0.18
Burkina Faso,2015,New HIV infections (per 1000 uninfected population),Female,0.2
Burkina Faso,2010,New HIV infections (per 1000 uninfected population),Both sexes,0.35
Burkina Faso,2010,New HIV infections (per 1000 uninfected population),Male,0.34
Burkina Faso,2010,New HIV infections (per 1000 uninfected population),Female,0.36
Burkina Faso,2005,New HIV infections (per 1000 uninfected population),Both sexes,0.59
Burkina Faso,2005,New HIV infections (per 1000 uninfected population),Male,0.58
Burkina Faso,2005,New HIV infections (per 1000 uninfected population),Female,0.61
Burkina Faso,2000,New HIV infections (per 1000 uninfected population),Both sexes,0.92
Burkina Faso,2000,New HIV infections (per 1000 uninfected population),Male,0.89
Burkina Faso,2000,New HIV infections (per 1000 uninfected population),Female,0.94
Burundi,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.17
Burundi,2019,New HIV infections (per 1000 uninfected population),Male,0.16
Burundi,2019,New HIV infections (per 1000 uninfected population),Female,0.18
Burundi,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.29
Burundi,2015,New HIV infections (per 1000 uninfected population),Male,0.27
Burundi,2015,New HIV infections (per 1000 uninfected population),Female,0.31
Burundi,2010,New HIV infections (per 1000 uninfected population),Both sexes,0.5
Burundi,2010,New HIV infections (per 1000 uninfected population),Male,0.47
Burundi,2010,New HIV infections (per 1000 uninfected population),Female,0.53
Burundi,2005,New HIV infections (per 1000 uninfected population),Both sexes,0.79
Burundi,2005,New HIV infections (per 1000 uninfected population),Male,0.75
Burundi,2005,New HIV infections (per 1000 uninfected population),Female,0.82
Burundi,2000,New HIV infections (per 1000 uninfected population),Both sexes,1.33
Burundi,2000,New HIV infections (per 1000 uninfected population),Male,1.28
Burundi,2000,New HIV infections (per 1000 uninfected population),Female,1.39
Cabo Verde,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.19
Cabo Verde,2019,New HIV infections (per 1000 uninfected population),Male,0.19
Cabo Verde,2019,New HIV infections (per 1000 uninfected population),Female,0.19
Cabo Verde,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.21
Cabo Verde,2015,New HIV infections (per 1000 uninfected population),Male,0.21
Cabo Verde,2015,New HIV infections (per 1000 uninfected population),Female,0.21
Cabo Verde,2010,New HIV infections (per 1000 uninfected population),Both sexes,0.26
Cabo Verde,2010,New HIV infections (per 1000 uninfected population),Male,0.26
Cabo Verde,2010,New HIV infections (per 1000 uninfected population),Female,0.25
